CountryID,Country Name,Abbr,Region,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate,Income Tax Rate,Corporate Tax Rate,Tax Burden perc of GDP,GDP Growth Rate,Unemployment
1,Afghanistan,AFG,Asia-Pacific,12.6,28.4,27.5,91.6,97.3,54.2,59.9,69.3,66,0,0,7,20,20,6.5,1.5,9.6
2,Albania,ALB,Europe,54,28.5,39.7,86.9,51.5,79.3,50.7,81.4,87.7,70,70,1.1,23,15,23.6,2.6,17.3
3,Algeria,DZA,Middle East / North Africa,38.2,29.6,31.7,81.1,19.8,62.1,49.5,67,63.3,35,30,8.4,35,23,11.7,3.7,10.5
4,Angola,AGO,Sub-Saharan Africa,36.4,19.8,12.8,87.7,70.7,58.5,40.4,70.6,56.7,30,40,11.7,17,30,6.5,3,7.6
5,Argentina,ARG,Americas,32.4,39.6,38.2,62.6,56.4,57.3,46.1,50.9,66.7,50,50,6.6,35,35,35.9,1.2,6.7
6,Armenia,ARM,Europe,55.5,42.5,43.4,83.7,82.9,78.5,72.4,72.8,80.2,80,70,2.4,26,20,23.5,3,16.3
7,Australia,AUS,Asia-Pacific,81.7,92.9,74.8,63.2,84.6,89.3,84.1,86.4,86.2,80,90,1.9,45,30,27.5,2.5,6.3
8,Austria,AUT,Europe,86,81.8,75.2,50.3,79.7,76.9,67.6,83.4,87,90,70,1.5,50,25,43,0.9,5.7
9,Azerbaijan,AZE,Asia-Pacific,50.5,33,37.6,87.7,97.4,71.5,75,73.6,74.4,55,50,5.3,25,20,14.2,1.1,4.7
10,Bahamas,BHS,Americas,45.3,48.7,38.2,97.1,42.3,68.5,71.5,77,50.6,50,60,19.7,0,0,16.9,0.5,14.4
11,Bahrain,BHR,Middle East / North Africa,64.2,53.7,55.5,99.9,12,69.4,78.7,80.7,82.8,75,80,3.6,0,0,3.8,3.2,1.2
12,Bangladesh,BGD,Asia-Pacific,34.9,26,19.1,72.8,78.7,53.4,68.7,68.6,63.6,50,30,10.7,25,45,8.6,6.4,4.4
13,Barbados,BRB,Americas,55.5,33,34.3,74,0,69.6,67.7,83.7,62.2,75,60,13.9,35,25,27.4,0.5,12.3
14,Belarus,BLR,Europe,50.9,56.3,37.6,89.8,92.8,71.3,74.6,60.4,80.6,30,10,2.2,13,18,23,-3.9,6.1
15,Belgium,BEL,Europe,83.3,69.3,71.5,44.1,66.3,82,61.1,84.9,87,85,70,1.5,50,33,44.7,1.4,8.7
16,Belize,BLZ,Americas,43.5,48.7,35,81.3,60.5,62.7,53.6,79.6,70.1,50,50,10,25,25,24.8,1.5,11.8
17,Benin,BEN,Sub-Saharan Africa,36,29.4,31.3,68.6,71.3,51.9,52.4,85.4,68.7,80,50,10.6,45,30,14.8,5.2,1.1
18,Bhutan,BTN,Asia-Pacific,60.1,50.7,44.7,83.1,61.7,72.6,77.6,67.1,60,20,30,10,25,30,13,7.7,2.6
19,Bolivia,BOL,Americas,25.7,15.4,32.6,86.1,81.4,58.9,35.8,66.4,76,5,40,4.5,13,25,24.4,4.8,3.6
