bread_1_flour_white.kg,bread_2_cereal.kg,bread_3_rice.kg,bread_4_beans.kg,bread_5_macaroni.kg,bread_6_lavash.kg
100,3.33,1.67,1.33,6,155
133.89,1.67,1.33,1,6.67,166.67
0.5,1.5,1.5,0.5,5,50
1.25,7.5,3.75,1.25,3.75,195
50,1.25,2.5,2.5,7.5,58.83
350,25,10,5,30,133.34
50,1.25,1.25,0.75,2.5,201.32
2.5,2.5,1.67,1,5,66.67
130,1.5,1.5,2.5,10,100
2.5,3,3.5,2,8.75,135
25,2.5,9,8.75,17.5,365
150,7.5,2.5,1.5,12.5,68.75
100,1.25,2.5,3.75,15,60
10,5,15,10,20,130
3.33,1.33,1,3.33,12,333.33
6.67,3.33,5,1.67,10,16.67
2.5,3,3,1.5,6,300
0.5,0.5,1,0.25,1,65
150,1,6.67,1,8.33,150
87.5,2.96,3,2.5,3.75,123.75
3.33,2.18,2.67,1,6,73.33
9,3,3,2,10,277.5
10,2,3,2,3,72
200,1.5,4.5,5,7.5,7.5
13.33,4.67,5.67,2.33,10,100
133.33,3.33,6.67,1.67,8.33,55
7.5,5,10,5,7.5,175
6.25,3.75,4.5,2.5,8,175
1,0.8,5,1.2,6,76
37.5,7.5,7.5,2.5,15,50
5,0.75,2.5,0.75,3.75,120
116.67,1,3.33,3.33,5,6.25
1.25,2.25,1.25,1.5,2.5,106.25
187.5,3,8.5,8,11,2.5
3,2,5,3,7,115
140,1.8,3,1,6,38.5
10,6,9,10,9,237.5
150,2,2.5,7.5,5,152.5
0.5,2.75,6,7,10,65
30,10,20,10,13,110
325,7.5,6,12.5,12.5,210
150,4.77,2.5,5,7.5,213.75
3.33,4.56,3.33,6,5,98.33
1.67,2.37,2.5,0.83,3,41.67
4.33,3.44,4.33,0.67,6.67,116.22
13.33,6.67,6.67,2.67,11.67,166.67
84,1.5,2.5,1,2.5,90
8.33,4,5,4,8,100
1.5,2.5,7.5,3.5,15,200
200,6.67,6.67,3.33,16.67,133.33
12.5,5,10,5,10,200
10.91,25,10,6,30,380
15,2,3,7.5,10,150
3,1.25,3.75,2,6,66.25
7.5,2.36,3.75,1.25,7,75
3.13,1.5,5,5,22.5,180
